Title,URL,Short_Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers,Duration,Site,Program Type,Courses,Level,Number of Reviews,Unique Projects,Prequisites,What you learn,Related Programs,Monthly access,6-Month access,4-Month access,3-Month access,5-Month access,2-Month access,School,Topics related to CRM,ExpertTracks,FAQs,Course Title,Course URL,Course Short_Intro,Weekly study,Premium course,What's include,Rank,Created by,Program,Number of ratings,Price,COURSE CATEGORIES,combined_features
Machine Learning Specialization,https://www.coursera.org/specializations/machine-learning-introduction,"#BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by AI visionary Andrew Ng",Data Science,Machine Learning,Specialization,English,Subtitles: English,"Decision Trees, Artificial Neural Network, Logistic Regression, Recommender Systems, Linear Regression, Regularization to Avoid Overfitting, Gradient Descent, Supervised Learning, Logistic Regression for Classification, Xgboost, Tensorflow, Tree Ensembles, ","Andrew Ng ,Eddy Shyu ,Aarti Bagul ,Geoff Ladwig ,",4.9stars,"10,438 ",Approximately 3 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"machine learning specialization #breakintoai with machine learning specialization. master fundamental ai concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by ai visionary andrew ng decision trees, artificial neural network, logistic regression, recommender systems, linear regression, regularization to avoid overfitting, gradient descent, supervised learning, logistic regression for classification, xgboost, tensorflow, tree ensembles, "
Introduction to Data Science Specialization,https://www.coursera.org/specializations/introduction-data-science,Launch your career in data science. Gain foundational data science skills to prepare for a career or further advanced learning in data science. ,Data Science,Data Analysis,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Turkish, Spanish, Persian","Data Science, Relational Database Management System (RDBMS), Cloud Databases, Python Programming, SQL, Deep Learning, Machine Learning, Big Data, Data Mining, Github, Jupyter notebooks, Rstudio, ","Rav Ahuja ,Alex Aklson ,Aije Egwaikhide ,Svetlana Levitan ,Romeo Kienzler ,Polong Lin ,Hima Vasudevan ,",4.7stars,"11,927 ",Approximately 5 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"introduction to data science specialization launch your career in data science. gain foundational data science skills to prepare for a career or further advanced learning in data science.  data science, relational database management system (rdbms), cloud databases, python programming, sql, deep learning, machine learning, big data, data mining, github, jupyter notebooks, rstudio, "
Data Science Fundamentals with Python and SQL Specialization,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,"Build the Foundation for your Data Science career. Develop hands-on experience with Jupyter, Python, SQL. Perform Statistical Analysis on real data sets.",Data Science,Data Analysis,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Persian, Korean","Data Science, Github, Python Programming, Jupyter notebooks, Rstudio, Data Analysis, Pandas, Numpy, Probability And Statistics, Regression Analysis, Data Visualization (DataViz), Statistical Hypothesis Testing, ","Aije Egwaikhide ,Svetlana Levitan ,Romeo Kienzler ,Joseph Santarcangelo ,Azim Hirjani ,Murtaza Haider ,Rav Ahuja ,Hima Vasudevan ,",4.6stars,"2,295 ",Approximately 7 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"data science fundamentals with python and sql specialization build the foundation for your data science career. develop hands-on experience with jupyter, python, sql. perform statistical analysis on real data sets. data science, github, python programming, jupyter notebooks, rstudio, data analysis, pandas, numpy, probability and statistics, regression analysis, data visualization (dataviz), statistical hypothesis testing, "
Key Technologies for Business Specialization,https://www.coursera.org/specializations/key-technologies-for-business,Get Ahead with Key Business Technologies. Gain Foundational Understanding of Key Technologies Driving Modern Businesses ,Business,Business Essentials,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Turkish","Data Science, Artificial Intelligence (AI), Business, Cloud Computing, technology, Cloud Native, Devops, Iaas PaaS Saas, Hybrid Multicloud, Deep Learning, Jobs, Machine Learning, ","Rav Ahuja ,Alex Aklson ,",4.7stars,"1,232 ",Approximately 3 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"key technologies for business specialization get ahead with key business technologies. gain foundational understanding of key technologies driving modern businesses  data science, artificial intelligence (ai), business, cloud computing, technology, cloud native, devops, iaas paas saas, hybrid multicloud, deep learning, jobs, machine learning, "
Deep Learning Specialization,https://www.coursera.org/specializations/deep-learning,Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,Data Science,Machine Learning,Specialization,English,"Subtitles: English, Chinese (Traditional), Arabic, French, Ukrainian, Portuguese (European), Chinese (Simplified), Italian, Portuguese (Brazilian), Vietnamese, Korean, German, Russian, Turkish, Spanish, Japanese","Artificial Neural Network, Convolutional Neural Network, Tensorflow, Recurrent Neural Network, Transformers, Deep Learning, Backpropagation, Python Programming, Neural Network Architecture, Mathematical Optimization, hyperparameter tuning, Inductive Transfer, ","Andrew Ng ,Kian Katanforoosh ,Younes Bensouda Mourri ,",4.9stars,"129,253 ",Approximately 5 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"deep learning specialization become a machine learning expert. master the fundamentals of deep learning and break into ai. recently updated with cutting-edge techniques! artificial neural network, convolutional neural network, tensorflow, recurrent neural network, transformers, deep learning, backpropagation, python programming, neural network architecture, mathematical optimization, hyperparameter tuning, inductive transfer, "
IBM & Darden Digital Strategy Specialization,https://www.coursera.org/specializations/digital-strategy,Get ahead with key business and technical skills. Understand how current technologies are changing industry and create strategy to transform your business,Data Science,Machine Learning,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","Data Science, Digital transformation, Artificial Intelligence (AI), Business Strategy, Cloud Computing, Deep Learning, Jobs, Machine Learning, strategy, Swot Analysis, Value Proposition, Competitiveness, ","Rav Ahuja ,Jared Harris ,Michael Lenox ,Rajkumar Venkatesan ,Yael Grushka-Cockayne  ,",4.8stars,262 ,Approximately 7 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ibm & darden digital strategy specialization get ahead with key business and technical skills. understand how current technologies are changing industry and create strategy to transform your business data science, digital transformation, artificial intelligence (ai), business strategy, cloud computing, deep learning, jobs, machine learning, strategy, swot analysis, value proposition, competitiveness, "
IBM AI Foundations for Business Specialization,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,,Data Science,Machine Learning,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Turkish","Data Science, Artificial Intelligence (AI), Information Technology (IT) Architecture, Data Architecture, Leadership, Deep Learning, Jobs, Machine Learning, Big Data, Data Mining, Management, Analytics, ","Rav Ahuja ,Alex Aklson ,Mark J Grover ,Ray Lopez, Ph.D. ,",4.7stars,"1,076 ",Approximately 2 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Analysis and Visualization Foundations Specialization,https://www.coursera.org/specializations/data-analysis-visualization-foundations,"Get ahead w/ Data Analysis & Visualization skills. Enhance your career by learning to analyze data using Excel spreadsheets, and create stunning visualizations and interactive dashboards with Cognos.",Data Science,Data Analysis,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","Data Science, Spreadsheet, Microsoft Excel, Data Analysis, Data Visualization (DataViz), Pivot Table, IBM Cognos Analytics, Dashboard, ","Rav Ahuja ,Sandip Saha Joy ,Steve Ryan ,Kevin McFaul ,Skills Network ,",4.8stars,"2,171 ",Approximately 4 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"data analysis and visualization foundations specialization get ahead w/ data analysis & visualization skills. enhance your career by learning to analyze data using excel spreadsheets, and create stunning visualizations and interactive dashboards with cognos. data science, spreadsheet, microsoft excel, data analysis, data visualization (dataviz), pivot table, ibm cognos analytics, dashboard, "
Applied Data Science Specialization,https://www.coursera.org/specializations/applied-data-science,"Get hands-on skills for a career in data science. Learn Python, analyze and visualize data. Apply your skills to data science and machine learning. ",Data Science,Machine Learning,Specialization,English,"Subtitles: English, Korean, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Turkish, Spanish, Persian","Data Science, Python Programming, Data Analysis, Pandas, Numpy, Jupyter notebooks, Predictive Modelling, Data Visualization (DataViz), Model Selection, Dashboards and Charts, dash, Matplotlib, ","Joseph Santarcangelo ,Azim Hirjani ,Saishruthi Swaminathan ,Yan Luo ,",4.6stars,"7,175 ",Approximately 6 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"applied data science specialization get hands-on skills for a career in data science. learn python, analyze and visualize data. apply your skills to data science and machine learning.  data science, python programming, data analysis, pandas, numpy, jupyter notebooks, predictive modelling, data visualization (dataviz), model selection, dashboards and charts, dash, matplotlib, "
Data Engineering Foundations Specialization,https://www.coursera.org/specializations/data-engineering-foundations,"Build the Foundation for a Data Engineering Career. Develop hands-on experience with Python, SQL, and Relational Databases and master the fundamentals of the Data Engineering ecosystem. ",Information Technology,Data Management,Specialization,English,"Subtitles: English, Korean, Arabic, Persian","Information Engineering, Python Programming, Extraction, Transformation And Loading (ETL), Relational Database Management System (RDBMS), SQL, Data Science, Database (DBMS), NoSQL, Data Analysis, Pandas, Numpy, Jupyter notebooks, ","Rav Ahuja ,Priya Kapoor ,Joseph Santarcangelo ,Ramesh Sannareddy ,Sandip Saha Joy ,Lin Joyner ,Rose Malcolm ,Hima Vasudevan ,",4.7stars,922 ,Approximately 5 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"data engineering foundations specialization build the foundation for a data engineering career. develop hands-on experience with python, sql, and relational databases and master the fundamentals of the data engineering ecosystem.  information engineering, python programming, extraction, transformation and loading (etl), relational database management system (rdbms), sql, data science, database (dbms), nosql, data analysis, pandas, numpy, jupyter notebooks, "
